id,date,text,user,hashtags
55,2025-10-18,"Artículo | #Bolivia de exportador a corredor del gas argentino hacia Brasil 🇦🇷🇧🇴🇧🇷Por Luciano Codeseira @ElEconomista_  #gasnatural #argentina #bolivia #brasil #elecciones","Gastransition","#Bolivia, #gasnatural, #argentina, #bolivia, #brasil, #elecciones"
56,2025-10-18,"Elecciones en Bolivia: cómo votar, horarios de las mesas, ley seca y lo que hay que saber de la segunda vuelta por las presidenciales https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html?ssm=TW_CC vía @elpais_america","chepisnice",""
57,2025-10-18,"Ojalá La Paz no vuelva a joder a #Bolivia  #Elecciones 2025","ciudadano_bol","#Bolivia, #Elecciones"
58,2025-10-18,"🇧🇴🗳️ #EleccionesBolivia | Tuto Quiroga y Rodrigo Paz se enfrentarán este domingo en unas elecciones presidenciales históricas para Bolivia. Te decimos cuáles son los requisitos y cómo votar 👇🏼 🖋️ @Julaiilama  https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html","elpais_america","#EleccionesBolivia"
59,2025-10-18,"🇧🇴🗳️ #EleccionesBolivia | Tuto Quiroga y Rodrigo Paz se enfrentarán este domingo en unas elecciones presidenciales históricas para Bolivia. Te decimos cuáles son los requisitos y cómo votar 👇🏼 🖋️ @Julaiilama  https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html","elpaismexico","#EleccionesBolivia"
60,2025-10-18,"🇧🇴🗳️ #EleccionesBolivia | Tuto Quiroga y Rodrigo Paz se enfrentarán este domingo en unas elecciones presidenciales históricas para Bolivia. Te decimos cuáles son los requisitos y cómo votar 👇🏼 🖋️ @Julaiilama  https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html","el_paisus","#EleccionesBolivia"
61,2025-10-18,"🇧🇴🗳️ #EleccionesBolivia | Tuto Quiroga y Rodrigo Paz se enfrentarán este domingo en unas elecciones presidenciales históricas para Bolivia. Te decimos cuáles son los requisitos y cómo votar 👇🏼 🖋️ @Julaiilama  https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html","elpais_america","#EleccionesBolivia"
62,2025-10-18,"🇧🇴🗳️ #EleccionesBolivia | Tuto Quiroga y Rodrigo Paz se enfrentarán este domingo en unas elecciones presidenciales históricas para Bolivia. Te decimos cuáles son los requisitos y cómo votar 👇🏼 🖋️ @Julaiilama  https://elpais.com/america/2025-10-18/elecciones-en-bolivia-como-votar-horarios-de-las-mesas-ley-seca-y-lo-que-hay-que-saber-de-la-segunda-vuelta-por-las-presidenciales.html","ElPaisAmericaCo","#EleccionesBolivia"
63,2025-10-18,"Rodrigo Paz y Tuto Quiroga: elecciones el domingo en Bolivia con la izquierda fuera del mapa https://www.periodistadigital.com/pd-america/20251018/rodrigo-paz-tuto-quiroga-elecciones-domingo-bolivia-izquierda-fuera-mapa-noticia-689405143409/","PDAmericaNews",""
64,2025-10-18,"[NUEVO] Elecciones en Bolivia 2025: claves sobre un histórico balotaje presidencial 📍 Argentina es el país con mayor cantidad de residentes bolivianos habilitados para votar. 🖋️ @eugeleis  https://chequeado.com/el-explicador/elecciones-en-bolivia-2025-claves-sobre-un-historico-balotaje-presidencial/","Chequeado",""
