id,date,text,user,hashtags
62,2025-10-19,"🚨🇧🇴 ELECCIONES BOLIVIA 2025: 🟢 R.Paz (PDC, Centro): 53,3% ⚫️ J.Quiroga (LIBRE, Derecha): 46,7% 🗳 0,4% escrutado","Informa3Chile",""
63,2025-10-19,"Los bolivianos estamos en un momento muy crítico y esperando los resultados de la segunda vuelta elecciones presidenciales 2025! Aun no hay ganador! #Bolivia se juega su futuro!","clavijo_israel","#Bolivia"
64,2025-10-19,"¿Quién ganó la segunda vuelta de las elecciones en Bolivia 2025? Jorge Quiroga o Rodrigo Paz, resultado del balotaje hoy 19 de octubre https://elcomercio.pe/mag/respuestas/quien-gano-la-segunda-vuelta-de-las-elecciones-en-bolivia-2025-jorge-quiroga-o-rodrigo-paz-resultado-del-balotaje-hoy-19-de-octubre-nnda-nnrt-noticia/","Mag_ECpe",""
65,2025-10-19,"No, no es Venezuela... Es la realidad de Bolivia, que hoy tuvo elecciones presidenciales. La historia se repite a veces como tragedia... Una gran conversación con el gran @riosmauricio: https://www.youtube.com/watch?v=KfZkYdFp4sw&feature=youtu.be","Neoadolfo",""
66,2025-10-19,"Evo Morales vota nulo en las elecciones de Bolivia, denunciando la falta de representación popular e indígena. Critica el desinterés en la jornada electoral y cuestiona las propuestas de los candidatos. Descubre más sobre su postura en nuestro blog. https://www.europapress.es/internacional/noticia-evo-morales-vota-nulo-ausencia-representacion-popular-indigena-elecciones-bolivia-20251019235448.html","tologratis",""
67,2025-10-19,"Evo Morales vota nulo en las elecciones de Bolivia, denunciando la falta de representación popular e indígena. Critica el desinterés en la jornada electoral y cuestiona las propuestas de los candidatos. Descubre más sobre su postura en nuestro blog. https://www.europapress.es/internacional/noticia-evo-morales-vota-nulo-ausencia-representacion-popular-indigena-elecciones-bolivia-20251019235448.html","mufaxha",""
68,2025-10-19,"🔴 #Urgente ELECCIONES EN BOLIVIA SE DISPUTAN ENTRE RODRIGO PAZ Y JORGE QUIROGA. Óscar Haswentefeul Presidente del Tribunal Supremo Electoral de Bolivia 🇧🇴 en rueda de prensa dio por culminado la jornada electoral por lo que el conteo de votos inició. Bolivia tendria un Gobierno de derecha indistinto el resultado. #Reaccion #Bolivia #EleccionesPresidente","RNacional_News","#Urgente, #Reaccion, #Bolivia, #EleccionesPresidente"
69,2025-10-19,"Octubre en bolivia con elecciones, nada más spooky 👻","suenaachinela",""
70,2025-10-19,"#NoticieroPopular 🗳 El vicepresidente David Choquehuanca votó este domingo en las elecciones generales en su segunda vuelta. Insta al candidato que salga ganador que gobierne 'sin dividir y que cumpla sus promesas electorales'.","rtp_bolivia","#NoticieroPopular"
71,2025-10-19,"#Mundo | 🇧🇴 Elecciones en Bolivia: Se cierran las votaciones de balotaje para elegir a su próximo presidente ➡️ Más información en nuestra web👇  https://peru21.pe/mundo/en-vivo-elecciones-en-bolivia-2025-segunda-vuelta/","peru21noticias","#Mundo"
72,2025-10-19,"🇧🇴 Elecciones en Bolivia: ya en el búnker de Jorge “Tuto” Quiroga (derecha liberal). Clima de “se viene lo peor”","roccofamu",""
73,2025-10-19,"Elecciones en Bolivia Todas las tendencias dan arriba a Rodrigo Paz. El más moderado de la derecha que se impone en estas históricas elecciones. En minutos los resultados oficiales","gonzabanez",""
74,2025-10-19,"🇧🇴🚨 Elecciones en Bolivia: Las Tendencias Preliminares darían a Rodrigo Paz (PDC) con un 52-54% v/s el 48-46% del Ex Presidente Jorge Quiroga (LIBRE) 🔴 El Comando de Paz admite que 'han ganado la Elección'","Informa3Chile",""
75,2025-10-19,"Rodrigo Paz (PDC) y Jorge Tuto Quiroga (Libre) llegaron a La Paz para esperar los resultados preliminares de la segunda vuelta de las elecciones presidenciales que se comenzarán a difundir después de las 20:00 #Unitel #Elecciones #PDC #Libre https://unitel.bo/noticias/asi-decidimos/video-donde-esperaran-rodrigo-y-tuto-los-resultados-de-la-segunda-vuelta-DE17750146","unitelbolivia","#Unitel, #Elecciones, #PDC, #Libre"
76,2025-10-19,"Candidatos a la presidencia de Bolivia respaldan el proceso democrático para los resultados de las elecciones https://cnnespanol.cnn.com/2025/10/19/latinoamerica/video/candidatos-presidenciales-elecciones-bolivia-mirador-mundial-tv","CNNEE",""
77,2025-10-19,"🇧🇴🚨 Elecciones en Bolivia: Habría una tendencia a Favor de Rodrigo Paz del PDC en Bolivia, Elección muy Ajustada","Informa3Chile",""
78,2025-10-19,"#Actualidad | Segunda vuelta de elecciones en Bolivia EN VIVO: tensión en hoteles de La Paz mientras crece  expectativa por los resultados 🔗👇 https://www.elpais.com.co/live/segunda-vuelta-de-elecciones-en-bolivia-en-vivo-este-domingo-acaba-la-hegemonia-de-izquierda-1834.html","elpaiscali","#Actualidad"
79,2025-10-19,"🗳️#FidesEnLasÁnforas | La sala plena del Tribunal Electoral Departamental de Potosí ingresa en cuarto intermedio hasta las 21:00 mientras llegan las actas electorales para su registro. “Estimamos que llegarán más rápido que en otras elecciones”, dijo su presidenta, Rocío Mamani.","GrupoFides","#FidesEnLasÁnforas"
80,2025-10-19,"Todo hace indicar que ya se cocino un mega 'tallarines rojos' en las elecciones Presidenciales de segunda vuelta en bolivia.","joSonOfGodsp1",""
81,2025-10-19,"Los primeros boletines dan a @tutoquiroga como ganador de las elecciones presidenciales en Bolivia.","UVtelevision",""
82,2025-10-19,"En la escuela de enfrente de lo de mis viejos estaban votando por las elecciones de bolivia así que hoy la cuadra era la expo Kangoo","santinviable",""
83,2025-10-19,"https://www.facebook.com/story.php?story_fbid=10161780161256400&id=676531399 Voté con fe y con el dictamen firme de mi conciencia en estas históricas elecciones, las más inéditas de los 200 años de vida republicana de Bolivia. JULIO RÍOS CALDERÓN","JulioRosCald2",""
84,2025-10-19,"Bolivia cierra votación tras elecciones presidenciales - Notitarde https://www.notitarde.com.ve/internacional/87425/bolivia-cierra-votacion-tras-elecciones-presidenciales","GaZElectoral",""
85,2025-10-19,"Elecciones en Bolivia. | Inicia el conteo de votos para decidir el próximo presidente entre Rodrigo Paz y Tuto Quiroga.  7.9 millones de Bolivianos fueron convocados a las urnas hoy para elegir un candidato de derecha.  Tras 20 años la izquierda ha sido desplazada.","sagrariogomez",""
86,2025-10-19,"Mesas en mi recinto en Santa Cruz #EleccionesBolivia2025 #Elecciones #bolivia #tuto #tutocarajo","andrade_catala","#EleccionesBolivia2025, #Elecciones, #bolivia, #tuto, #tutocarajo"
87,2025-10-19,"Sumen carajo el ausentismo, los votos blancos y nulos y ahi tienen la legitimidad de la farsa racista del @TSEBolivia HDP. #Bolivia execra la flatulencia y fraudulencia de estas 'elecciones'🤢 https://t.co/AbI1lbLOtw","MARKA28862497","#Bolivia"
88,2025-10-19,"En principio me alegro por las elecciones en Bolivia y su resultado, luego reflexiono, en la cancha se ven los pingos. #EleccionesBolivia","eugeamazona","#EleccionesBolivia"
89,2025-10-19,"🗳🇧🇴 CIERRAN las URNAS en las elecciones presidenciales de Bolivia La jornada de votación de Bolivia, donde unos 7,9 millones de ciudadanos fueron convocados este domingo a definir el nuevo rumbo político del país, ha finalizado.","ActualidadRT",""
90,2025-10-19,"Pobre Bolivia. El MAS vuelta en las proximas elecciones","rricardoosilva",""
91,2025-10-19,"Están tan manijas con las elecciones del domingo próximo acá que andan tirando prodes de las elecciones en Bolivia","NassorIzBrasil",""
92,2025-10-19,"Elecciones en Bolivia 🇧🇴 ¿La foto de mega fraude? Algo anda mal ahí. Lo que está sucediendo esos 'errores' en las actas no es nada más que una planificación estratégica para montar un fraude. Rodrigo paz será que ya tranzo CON el MAS?","aimaradelsurPE",""
93,2025-10-19,"RESULTADOS ELECTORALES Y ANALISIS SEGUNDA VUELTA ELECCIONES BOLIVIA 2025 https://twitter.com/i/broadcasts/1nAKEEbRqBoKL","reddtvoficial",""
94,2025-10-19,"💠 #DeutscheWelle  Bolivia cierra votación tras elecciones presidenciales Más detalles ⬇   https://www.24horas.cl/internacional/deutsche-welle/bolivia-cierra-votacion-tras-elecciones-presidenciales","24HorasTVN","#DeutscheWelle"
